"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1131","臺北醫院","34","12","新莊區","20220109141917","25.043536","121.459772","思源路131號至137號前人行道","Xinzhuang Dist.","Taipei Hospital","No.131 to No.137, Siyuan Rd.","22","1"
"1132","重新重安街口","36","30","三重區","20220109141942","25.058443","121.489751","重新路三段/重安街","Sanchong Dist.","Chongxi & Chongan Intersection","Sec. 3, Chongxin Rd./Chong’an St.","4","1"
"1133","柴埕市民活動中心","38","7","新店區","20220109141937","24.966775","121.516479","安民街/安民街65巷","Xindian Dist.","Chaicheng Civic Activity Center","Anmin St./Ln. 65, Anmin St.","31","1"
"1134","思賢國小","52","22","新莊區","20220109141918","25.046446","121.457716","福樂街66號對面","Xinzhuang Dist.","Si Xian Elementary School","No.66, Fule St. (opposite)","30","1"
"1135","莊敬公園","38","1","板橋區","20220109141923","25.020983","121.470821","萬板路/民生路二段(鄰近板橋萬板親子圖書閱覽室)","Banqiao Dist.","Zhuangjing Park","Wanban Rd./Sec. 2, Minsheng Rd.","36","1"
"1136","豐年國小","34","23","新莊區","20220109141934","25.031278","121.443230","瓊泰路161號對面人行道","Xinzhuang Dist.","Feng-Nian Elementary School","No.161, Qiongtai Rd. (opposite)","5","1"
"1137","新海長江路口","36","13","板橋區","20220109141943","25.02853","121.457367","長江路一段/新海路","Banqiao Dist.","Xinhai & Changjiang Intersection","Sec. 1, Changjiang Rd./Xinhai Rd.","22","1"
"1138","捷運新埔站(4號出口)","50","26","板橋區","20220109141938","25.023491","121.468559","民生路二段250號前人行道","Banqiao Dist.","MRT Xinpu Sta.(Exit.4)","No.250, Sec. 2, Minsheng Rd.","24","1"
"1139","板橋仁愛公園","52","11","板橋區","20220109141922","24.996430","121.459696","國慶路49巷23號對面","Banqiao Dist.","Banqiao Renai Park","Aly. 23, Ln. 49, Guoqing Rd. (opposite)","40","1"
"1140","泰山國小","32","15","泰山區","20220109141941","25.062345","121.431475","泰林路2段257號旁人行道","Taishan Dist.","Taishan Elementary School","No.257, Sec. 2, Tailin Rd.","9","1"
"1141","縣民民族路口","36","0","板橋區","20210913170158","25.010012","121.461097","縣民大道一段/民族路(鄰近府中商圈(板橋後站商圈))","Banqiao Dist.","Xianmin Blvd & Minzu Intersection","Sec. 1, Xianmin Blvd./Minzu Rd.","0","0"
"1142","光華東帝士","34","13","新莊區","20220109141928","25.010795","121.427836","民安西路370號至376號前","Xinzhuang Dist.","Guanghua dongdishi","No.376 to No.376, Min’an W. Rd.","21","1"
"1143","廣福公園","22","6","板橋區","20220109141918","24.991643","121.462872","廣權路/廣和街","Banqiao Dist.","Guangfu Park","Guangquan Rd./Guanghe St.","16","1"
"1144","板橋四維公園","54","2","板橋區","20220109141926","25.025464","121.462633","陽明街251號至259號對面人行道","Banqiao Dist.","Banqiao Siwei Park","No.251 to No.259, Yangming St. (opposite)","51","1"
"1145","捷運頂埔站(2號出口)","52","20","土城區","20220109141936","24.959276","121.419008","新北市土城區中央路四段53號(前)","Tucheng Dist.","MRT Dingpu Sta.(Exit.2)","No.53, Sec. 4, Zhongyang Rd. (opposite)","32","1"
"1146","龍門龍濱路口","36","12","三重區","20220109141924","25.073475","121.500977","龍濱路192號對面","Sanchong Dist.","Longmen & Longbin Intersection","No.192, Longbin Rd. (opposite)","18","1"
"1147","青潭國小","40","22","新店區","20220109141926","24.953101","121.551813","北宜路2段149號對面","Xindian Dist.","Qing-Tan Elementary School","No.149, Sec. 2, Beiyi Rd. (opposite)","17","1"
"1148","金城忠義路口","34","14","土城區","20220109141927","24.969399","121.440808","金城路一段/忠義路","Tucheng Dist.","Jincheng & Zhongyi Intersection","Sec. 1, Jincheng Rd./Zhongyi Rd.","20","1"
"1149","華德公園","38","8","板橋區","20220109141944","24.991683","121.453320","四川路二段245巷60號對面","Banqiao Dist.","Huade Park","No.60, Ln. 245, Sec. 2, Sichuan Rd.","30","1"
"1150","橋東里(忠孝東路)","28","4","汐止區","20220109141940","25.073682","121.666257","忠孝東路484號至488號前","Xizhi Dist.","Qiaodong Village (Zhongxiao E. Rd.)","No.484 to No.488, Zhongxiao E. Rd.","23","1"
"1151","中山國中","28","4","板橋區","20220109141931","25.018559","121.467509","文化路一段188巷56號","Banqiao Dist.","Zhong Shan Junior High School","No.56, Ln. 188, Sec. 1, Wenhua Rd.","24","1"
"1152","捷運土城站(2號出口)","52","32","土城區","20220109141919","24.972631","121.443563","金城路1段/和平路","Tucheng Dist.","MRT Tucheng Sta.(Exit 2)","Sec. 1, Jincheng Rd./Heping Rd.","20","1"
"1153","四川遠東路口","48","21","板橋區","20220109141939","24.998003","121.457355","遠東路5號前人行道(四川路側)","Banqiao Dist.","Sichuan & Yuandong Intersection","No.5, Yuandong Rd.","27","1"
"1154","員林社區公園","42","5","土城區","20220109141944","24.977883","121.443237","員林街12巷對面","Tucheng Dist.","Yuanlin Community Park","Ln. 12, Yuanlin St. (opposite)","37","1"
"1155","中正橋","30","13","永和區","20220109141942","25.017757","121.516809","環河東路一段/光復街(鄰近楊三郎美術館)","Yonghe Dist.","Zhongzheng Bridge","Sec. 1, Huanhe E. Rd./Guangfu St.","17","1"
"1156","北港國小","44","25","汐止區","20220109141925","25.089027","121.645946","汐萬路二段279號","Xizhi Dist.","Beigang Elementary School","No.279, Sec. 2, Xiwan Rd.","18","1"
"1157","捷運新店站","44","28","新店區","20220109141928","24.958605","121.538659","中興路一段34號前(高架橋下停車場)","Xindian Dist.","MRT Xindian Sta.","No.34, Sec. 1, Zhongxing Rd.","18","1"
"1158","錦和高中","28","14","中和區","20220109141942","24.993510","121.490760","錦和路/和城路口(東南角)","Zhonghe Dist.","Jinghe Senior High School","Jinhe & Hecheng Intersection","8","1"
"1159","新樹公園","32","9","新莊區","20220109141931","25.003383","121.433154","新樹路627號對面","Xinzhuang Dist.","Xinshu Park","No.627, Xinshu Rd. (opposite)","23","1"
"1160","中和環球購物中心","32","20","中和區","20220109141915","25.006367","121.474223","中山路三段130號","Zhonghe Dist.","Zhonghe Global Mall","No.130, Sec. 3, Zhongshan Rd.","12","1"
"1161","楓樹腳公園","36","6","泰山區","20220109141942","25.061938","121.434939","楓江路26巷26號前人行道(鄰近泰山親子圖書閱覽室)","Taishan Dist.","Fengshujiao Park","No.26, Ln. 26, Fengjiang Rd.","30","1"
"1162","厚德公園","36","11","三重區","20220109141944","25.071988","121.491200","忠孝路一段37號","Sanchong Dist.","Houde Park","No.37, Sec. 1, Zhongxiao Rd.","25","1"
"1163","板橋信義公園","40","12","板橋區","20220109141921","24.996183","121.456476","四川路二段6號對面(鄰近玉美人孕婦裝觀光工廠)","Banqiao Dist.","Banqiao Xinyi Park","No.6, Sec. 2, Sichuan Rd. (opposite)","28","1"
"1164","國光里(國光路)","34","13","板橋區","20220109141917","25.017755","121.458308","國光路76號旁","Banqiao Dist.","Guoguang Village (Guoguang Rd.)","No.76, Guoguang Rd.","13","1"
"1165","民生長江路口","100","1","板橋區","20220109141919","25.030904","121.463596","民生路三段/長江路一段(64高架橋下方)","Banqiao Dist.","Minsheng & Changjiang Intersection","Sec. 3, Minsheng Rd./Sec. 1, Changjiang Rd.","97","1"
"1166","華福市民活動中心","28","11","中和區","20220109141931","24.995482","121.467525","民德路296號對面停車格位","Zhonghe Dist.","Huafu Civil Activity Center","No.296, Minde Rd. (opposite)","16","1"
"1167","浮洲合宜住宅(合安一路)","34","13","板橋區","20220109141920","24.999329","121.446343","合安一路/大觀路二段153巷","Banqiao Dist.","Fujhou Appropriate House ( He-an 1st. Road )","1st Rd./Ln. 153, Sec. 2, Daguan Rd.","13","1"
"1168","建福公園","32","10","新莊區","20220109141916","25.027694","121.426685","建福路/建福路49巷","Xinzhuang Dist.","Jianfu Park","Jianfu Rd./Ln. 49, Jianfu Rd.","22","1"
"1169","水河里活動中心","52","20","蘆洲區","20220109141918","25.093949","121.473913","民族路408巷/復興路323巷","Luzhou Dist.","Shuei He Village Activity Center","Ln. 408, Minzu Rd./Ln. 323, Fuxing Rd.","32","1"
"1170","延和社區公園","32","6","土城區","20220109141942","24.990270","121.468910","延和路180號(旁)","Tucheng Dist.","Yanhe Community Park","No. 180, Yanhe Rd.","26","1"
"1171","國光公園","48","12","板橋區","20220109141934","25.019828","121.453852","中正路325巷/中正路341巷","Banqiao Dist.","Guoguang Park","Ln. 325, Zhongzheng Rd./Ln. 341, Zhongzheng Rd.","30","1"
"1172","樹林火車站(後站)","66","29","樹林區","20220109141942","24.992553","121.424652","後站街6巷11號對面","Shulin Dist.","Shulin Railway Rear Station","No.11, Ln. 6, Houzhan St. (opposite)","31","1"
"1173","文林國小","30","7","樹林區","20220109141945","24.997856","121.426360","千歲街59號","Shulin Dist.","Wenlin Elementary School","No.59, Qiansui St.","17","1"
"1174","土城綜合體育場","44","2","土城區","20220109141930","24.983671","121.454211","裕民路195巷旁","Tucheng Dist.","Tucheng Sports Field","Ln. 195, Yumin Rd.","42","1"
"1175","板橋福德公園","32","14","板橋區","20220109141927","25.011498","121.467415","新站路1號對面(鄰近新北市市民廣場)","Banqiao Dist.","Banqiao Fude Park","No.1, Xinzhan Rd. (opposite)","17","1"
"1176","光華公園","32","1","樹林區","20220109141921","25.005412","121.413157","保安街2段259號對面(鄰近樹林興仁花園夜市)","Shulin Dist.","Guanghua Park","No.259, Sec. 2, Bao’an St. (opposite)","30","1"
"1177","樹林大安活動中心","36","5","樹林區","20220109141924","24.986391","121.414770","備前街/復興路372巷口","Shulin Dist.","Shulin Da'an Activity Center","Beiqian St./Ln. 372, Fuxing Rd.","31","1"
"1178","三民中山一路口","28","15","蘆洲區","20220109141922","25.082229","121.476004","三民路8號前(鄰近紫禁城博物館)","Luzhou Dist.","Sanmin & Zhongshan 1st Rd. Intersection","No.8, Sanmin Rd.","12","1"
"1179","義學國小","34","7","泰山區","20220109141921","25.051762","121.431669","民生路33號對面人行道","Taishan Dist.","Yixue Elementary School","No.33, Minsheng Rd. (opposite)","19","1"
"1180","自然公園","34","19","三重區","20220109141928","25.089840","121.487987","如意街/集賢路口","Sanchong Dist.","Natural Park","Ruyi St./Jixian Rd.","15","1"
"1181","板林溪北路口","42","30","板橋區","20220109141920","24.990555","121.426350","板林路/溪北路","Banqiao Dist.","Banlin & Xibei Intersection","Banlin Rd./Xibei Rd.","11","1"
"1182","新北市藝文中心","40","22","板橋區","20220109141927","25.026542","121.472279","莊敬路/文化路2段182巷(鄰近新北市藝文中心)","Banqiao Dist.","New Taipei City Art Center","Zhuangjing Rd./Ln. 182, Sec. 2, Wenhua Rd.","18","1"
"1183","大安中央路口","32","4","土城區","20220109141836","24.965619","121.432610","大安路/中央路三段","Tucheng Dist.","Da'an & Zhongyang Intersection","Da’an Rd./Sec. 3, Zhongyang Rd.","28","1"
"1184","中和地政事務所","20","10","中和區","20220109141931","24.990393","121.502397","復興路280號","Zhonghe Dist.","Zhonghe Land Office","No.280, Fuxing Rd.","10","1"
"1185","華夏科技大學","64","0","中和區","20210913170158","24.980672","121.507652","工專路111號","Zhonghe Dist.","Hwa Hsia University of Technology","No.111, Gongzhuan Rd.","0","0"
"1186","同興公園","34","17","泰山區","20220109141940","25.055188","121.432128","仁義路15號對面","Taishan Dist.","Tongxing Park","No.15, Renyi Rd. (opposite)","9","1"
"1187","新五泰國民運動中心","42","13","泰山區","20220109141937","25.055865","121.434262","全興路214號對面","Taishan Dist.","Xinwutai  Civil Sports Center","No.214, Quanxing Rd. (opposite)","27","1"
"1188","溪洲公園停車場","34","16","板橋區","20220109141917","24.986723","121.426820","溪崑二街145號","Banqiao Dist.","Xizhou Park","No.145, Xikun 2nd St.","18","1"
"1189","崑崙公園","30","14","板橋區","20220109141917","24.993406","121.429636","大觀路三段212巷70號對面","Banqiao Dist.","Kunlun Park","No.70, Aly. 212, Sec. 3, Daguan Rd. (opposite)","15","1"
"1190","捷運海山站(3號出口)","74","22","土城區","20220109141935","24.986923","121.449335","海山路46號對面機車格位","Tucheng Dist.","MRT Haishan Sta.(Exit 3)","No.46, Haishan Rd. (opposite)","49","1"
"1191","興化公園","38","5","新莊區","20220109141924","25.065234","121.461115","五工二路/五工三路50巷","Xinzhuang Dist.","Xinhua Park","Wugong 2nd Rd./Ln. 50, Wugong 3rd Rd.","32","1"
"1192","潤泰社區","28","18","板橋區","20220109141925","25.017953","121.479375","三民路二段35巷口","Banqiao Dist.","Runtai Community","Ln. 35, Sec. 2, Sanmin Rd.","10","1"
"1193","西盛館","30","12","新莊區","20220109141926","25.011905","121.432713","新樹路499號前人行道(西盛館)","Xinzhuang Dist.","Xi Sheng Guan","No.499, Xinshu Rd.","18","1"
"1194","秀朗成功路口","38","23","中和區","20220109141923","24.995821","121.526550","秀朗路三段 / 成功路二段","Zhonghe Dist.","Xiulang & Chenggong Intersection","Sec. 3, Xiulang Rd./Sec. 2, Chenggong Rd.","15","1"
"1195","板橋國中","54","15","板橋區","20220109141926","25.024903","121.454310","中正路441號前人行道(鄰近435藝文特區)","Banqiao Dist.","Banqiao Junior High School","No.441, Zhongzheng Rd.","37","1"
"1196","永豐公園活動中心","24","11","板橋區","20220109141937","25.021127","121.476853","永豐街221號","Banqiao Dist.","Yongfeng  Park Activity Center","No.221, Yongfeng St.","13","1"
"1197","義仁市民活動中心","36","8","泰山區","20220109141923","25.050479","121.427667","明志路二段177號","Taishan Dist.","Yiren civil activity center","No.177, Sec. 2, Mingzhi Rd.","22","1"
"1198","鶯歌國中","34","20","鶯歌區","20220109141918","24.951734","121.342963","建國路420號對面人行道(鄰近新太源藝術工坊)","Yingge Dist.","Yingge Junior High School","No.420, Jianguo Rd.(opposite)","13","1"
"1199","捷運迴龍站(3號出口)","60","15","新莊區","20220109141917","25.022760","121.413053","中正路/中正路746巷","Xinzhuang Dist.","MRT Huilong Sta.(Exit 3)","Zhongzheng Rd./Ln. 746, Zhongzheng Rd.","42","1"
"1200","捷運先嗇宮站(2號出口)","42","14","三重區","20220109141931","25.046068","121.470987","重新路五段515號","Sanchong Dist.","MRT Xianse Temple Sta.(Exit.2)","No.515, Sec. 5, Chongxin Rd.","28","1"
"1201","鶯歌火車站(仁愛路)","58","23","鶯歌區","20220109141936","24.955591","121.354376","仁愛路55號對側人行道(鄰近鶯歌車站/宏德宮(孫臏廟))","Yingge Dist.","Yingge Railway Station(Ren’ai  Rd.)","No.55, Ren’ai Rd., Yingge Dist.(opposite)","33","1"
"1202","建國育英路口","50","0","鶯歌區","20210913165851","24.952761","121.347193","鶯歌區建國路/育英街口機車停車場內(鄰近許新旺陶瓷紀念博物館/鶯歌光點美學館)","Yingge Dist.","Chienkuo & Yuying Intersection","Jianguo Rd./Yuying St.","0","0"
"1203","鶯歌陶瓷老街","44","0","鶯歌區","20210913165851","24.952226","121.351035","鶯歌區尖山埔路/國慶街(停車場內)(鄰近鶯歌陶瓷老街(鶯歌老街)/鶯歌光點美學館)","Yingge Dist.","Yingge ceramics old street","Jianshanpu Rd./Guoqing St.","0","0"
"1204","立泰里(中環路二段)","34","11","新莊區","20220109141931","25.045676","121.442133","新莊區中環路二段423號(對面橋下)(鄰近新莊文化藝術中心)","Xinzhuang Dist.","Litai Village(Zhonghuan Rd. Sec. 2)","No.423, Sec. 2, Zhonghuan Rd.(opposite)","22","1"
"1205","竹圍公園","28","4","淡水區","20220109141939","25.138234","121.463395","淡水區民生路108號旁公園通道(竹圍公園)","Tamsui Dist.","Chuwei Park","No.108, Minsheng Rd.","24","1"
"1206","新北市立鶯歌陶瓷博物館","40","21","鶯歌區","20220109141945","24.949549","121.352832","鶯歌區文化路407號(鄰近鶯歌陶瓷博物館)","Yingge Dist.","New Taipei City Yingge Ceramics  Museum","No.407, Wenhua Rd.","19","1"
"1207","浮洲合宜住宅(樂群路)","38","9","板橋區","20220109141943","24.9969909","121.4465092","板橋區合宜路/樂群路口","Banqiao Dist.","Fuzhou Apartment(Lequn Rd.)","Heyi Rd./Lequn Rd.","29","1"
"1208","尖山公園","44","27","鶯歌區","20220109141936","24.948220","121.345767","鶯歌區尖山路161號對面","Yingge Dist.","Jianshan Park","No.161, Jianshan Rd.(opposite)","11","1"
"1209","崇德橋東活動中心","30","3","汐止區","20220109141931","25.070512","121.667002","茄苳路84號(崇德橋東里民活動中心前)","Xizhi Dist.","Chungde-Ciaodong Activity Center","No.84, Jiadong Rd.","25","1"
"1210","樹林區衛生所","38","12","樹林區","20220109141934","24.983768","121.415032","新北市樹林區中山路二段80-1號對面機車停車格","Shulin Dist.","Shulin District Public Health Center","No.80-1, Sec. 2, Zhongshan Rd.(opposite)","23","1"
"1211","溪墘公園","36","6","蘆洲區","20220109141932","25.079969","121.476205","信義路73巷2號對面公園人行道","Luzhou Dist.","Si Cian Park","No.2, Ln. 73, Xinyi Rd.(oppsite)","29","1"
"1212","育德國小","34","14","樹林區","20220109141936","24.970656","121.392602","育德街13號對面人行道","Shulin Dist.","Yude Elementary School","No.13, Yude St.(oppsite)","12","1"
"1213","彭福國小","40","18","樹林區","20220109141921","24.980335","121.423104","國凱街130號對面","Shulin Dist.","Pengfu Elementary School","No.130, Guokai St.(oppsite)","20","1"
"1214","民享藝文特區","36","14","中和區","20220109141932","25.003435","121.475345","民治街120號對面人行道","Zhonghe Dist.","Minxiang Art Zone","No.120, Minzhi St.(oppsite)","22","1"
"1215","億光電子(樹林高中)","40","24","樹林區","20220109141917","24.983567","121.423601","中華路 / 樹中二街口(學校側門對面人行道)","Shulin Dist.","Everlight Electronics Co.,Ltd (Shulin Senior High School)","Zhonghua Rd./Shuzhong 2nd St.(oppsite)","15","1"
"1216","捷運永寧站(2號出口)","32","12","土城區","20220109141823","24.965783","121.436227","承天路11號對面","Tucheng Dist.","MRT Yungning Sta.(EXIT 2)","No.11, Chengtian Rd.(oppsite)","20","1"
"1217","竿蓁市民活動中心","48","4","淡水區","20220109141926","25.165090","121.450831","中正東路一段3巷2號對面路側(亞太飯店旁)(鄰近淡水百齡公園)","Tamsui Dist.","Ganzhen Civil Activity Center","No.2, Ln. 3, Sec. 1, Zhongzheng E. Rd.(oppsite)","44","1"
"1218","長壽親子公園","38","25","樹林區","20220109141925","24.991853","121.421371","樹德街35號對面(公園內縮空間)","Shulin Dist.","Changshou Parent-child Park","No.35, Shude St.(oppsite)","13","1"
"1219","新市國小","36","13","淡水區","20220109141942","25.185313","121.444332","中山北路二段189巷2號對面人行道(新市國小)","Tamsui Dist.","Xinshi Elementary School","No.2, Ln. 189, Sec. 2, Zhongshan N. Rd.(oppsite)","17","1"
"1220","新北市立圖書館鶯歌分館","36","15","鶯歌區","20220109141953","24.957195","121.349704","中山路150號(圖書館內停車場)","Yingge Dist.","New Taipei City Library Yingge Branch","No.150, Zhongshan Rd.","21","1"
"1221","德音國小","36","9","五股區","20220109141939","25.071515","121.435670","明德路2號(德音國小成泰路路側人行道)(鄰近維格餅家鳳梨酥夢工場)","Wugu Dist.","De-Yin Elementary School","No.2, Mingde Rd.(oppsite)","27","1"
"1222","中山北新春街口","40","13","淡水區","20220109141938","25.180345","121.444742","中山北路一段/新春街(東南側)(公園籃球場前人行道)","Tamsui Dist.","Zhongshan North & Xinchun Intersection","Sec. 1, Zhongshan N. Rd./Xinchun St.","27","1"
"1223","正德國中","18","5","淡水區","20220109141919","25.178512","121.447874","北新路116號對面人行道(正德國中)","Tamsui Dist.","Zhengde Junior High School","No.116, Beixin Rd.(oppsite)","12","1"
"1224","金城立體停車場","42","16","土城區","20220109141916","24.984102","121.458595","金城路2段266號","Tucheng Dist.","Jincheng Parking Lot","No.266, Sec. 2, Jincheng Rd.","26","1"
"1225","先嗇宮","32","7","三重區","20220109141928","25.051190","121.476007","五谷王北街77號(後方停車場旁人行道)(鄰近三重先嗇宮)","Sanchong Dist.","Xianse Temple","No.77, Wuguwang N. St.","25","1"
"1226","板橋第一運動場","28","10","板橋區","20220109141917","25.009061","121.468352","板橋區海山路23號對面","Banqiao Dist.","Banqiao First Stadium","No.23, Haishan Rd.(oppsite)","17","1"
"1227","光興國小","36","18","三重區","20220109141931","25.060339","121.500103","光興街/文化南路口(西南側)(光興街路側)(鄰近新北市眷村文化園區（空軍三重一村）)","Sanchong Dist.","Guangxing Elementary School","Guangxing St./Wenhua S. Rd.","16","1"
"1228","安和市民活動中心","30","2","新店區","20220109141928","24.975317","121.515687","安興路67號對面空地 (高架橋下)","Xindian Dist.","Anhe Activity Center","No.67, Anxing Rd.(oppsite)","28","1"
"1229","景安板南路口","30","18","中和區","20220109141927","24.992249","121.504443","景安路與板南路口(西南側三角公園)","Zhonghe Dist.","Jing’an / Bannan Intersection","Jing’an Rd./Bannan Rd.","11","1"
"1230","新月橋","50","31","新莊區","20220109141936","25.032300","121.450011","瓊林路1號旁(碧江公園旁)(鄰近新月橋/新莊廟街)","Xinzhuang Dist.","Crescent Bridge","No.1, Qionglin Rd.","19","1"
"1231","修德國小","42","1","三重區","20220109141926","25.065295","121.490450","民生街74號對面人行道","Sanchong Dist.","Sioude Elementary School","No.74, Minsheng St.(oppsite)","41","1"
"1232","福祥里(中和溝)","30","0","中和區","20220109141938","25.005933","121.499565","福祥路90巷7弄1號對側空間","Zhonghe Dist.","Fuxiang Village (Zhonghe Ditch)","No.1, Aly. 7, Ln. 90, Fuxiang Rd.(oppsite)","30","1"
"1233","輕軌濱海義山站","28","6","淡水區","20220109141924","25.189448","121.438708","濱海路一段125~219號前人行道","Tamsui Dist.","LRT Binhai Yishan Station","No.125 ~ No.219, Sec. 1, Binhai Rd.","21","1"
"1234","鴨母港抽水站","40","18","蘆洲區","20220109141939","25.082935","121.456728","永安南路二段334號(對面人行道)","Luzhou Dist.","Yamugang Pumping Station","No.334, Sec. 2, Yong’an S. Rd.","22","1"
"1235","捷運淡水站","106","87","淡水區","20220109141941","25.168826","121.444183","公明街73巷6號前(淡水老街廣場)(鄰近淡水捷運站/淡水龍山寺/捷運淡水線)","Tamsui Dist.","MRT Tamsui Station","No.6, Ln. 73, Gongming St.","19","1"
"1236","安成安德街口","28","7","新店區","20220109141940","24.961147","121.509988","安成街26號至36號對面","Xindian Dist.","Ancheng & Ande Intersection","No.26 ~ No.36, Ancheng St.(oppsite)","20","1"
"1237","淡水國民運動中心","46","8","淡水區","20220109141917","25.186496","121.443261","中山北路2段381巷2號","Tamsui Dist.","Tamsui Sports Center","No.2, Ln. 381, Sec. 2, Zhongshan N. Rd.","37","1"
"1238","捷運竹圍站","46","0","淡水區","20220109141929","25.137658","121.460112","民權路105號-115號前人行道","Tamsui Dist.","MRT Zhuwei Station","No.105 ~ No.115, Minquan Rd.","1","1"
"1239","龍門公園","38","0","三重區","20220109141923","25.074815","121.498484","公園街/仁福街 (龍門公園人行道上)","Sanchong Dist.","Longmen Park","Gongyuan St. / Renfu St.","38","1"
"1240","輕軌淡水行政中心站","34","8","淡水區","20220109141937","25.188887","121.443505","濱海中山北路口西南側人行道(家樂福廣場前人行道)","Tamsui Dist.","LRT Tamsui District Office Station","Binhai Rd. / Sec. 2, Zhongshan N. Rd.","26","1"
"1241","永安圖書館","36","21","蘆洲區","20220109141921","25.078599","121.462228","永安南路二段150號(對側人行道)","Luzhou Dist.","Yong-an Library","No.150, Sec. 2, Yong’an S. Rd.","15","1"
"1242","西盛廣場","34","17","新莊區","20220109141942","25.000894","121.431485","樹新路251號對面(西盛廣場人行道)","Xinzhuang Dist.","XiSheng Square","No.251, Shuxin Rd.(oppsite)","17","1"
"1243","三峽區公所(三峽老街)","42","15","三峽區","20220109141927","24.934187","121.369158","中山路17號(公所旁徒步區)(鄰近三峽清水祖師廟/三峽歷史文物館/三峽老街)","Sanxia Dist.","Sanxia District Office(Sanxia Old Street)","No.17, Zhongshan Rd.","20","1"
"1244","仁愛文化二路口","50","34","林口區","20220109141928","25.077118","121.374258","仁愛路二段559號前方人行道","Linkou Dist.","Ren-ai & Wenhua 2nd Rd. Intersection","No.559, Sec. 2, Ren’ai Rd.","16","1"
"1245","崑崙活力廣場","42","20","板橋區","20220109141917","24.993901","121.432880","大觀路三段133巷3號對面廣場","Banqiao Dist.","Kunlun Square","No.3, Ln. 133, Sec. 3, Daguan Rd.(oppsite)","22","1"
"1246","永盛公園","38","8","三重區","20220109141943","25.076133","121.484304","車路頭街139巷135號(對面人行道)","Sanchong Dist.","YongSheng Park","No.135, Ln. 139, Chelutou St.(oppsite)","30","1"
"1247","鷺江廣場","16","4","蘆洲區","20220109141923","25.085621","121.477694","信義路319巷22號(旁邊機車格前)","Luzhou Dist.","Lu Jiang square","No.22, Ln. 319, Xinyi Rd.(side)","12","1"
"1248","六張公園","36","16","三重區","20220109141916","25.069661","121.494048","安慶街149巷21號 (對面六張公園人行道)","Sanchong Dist.","Liuzhang Park","No.21, Ln. 149, Anqing St.(oppsite)","20","1"
"1249","中山佳林路口","36","14","林口區","20220109141944","25.079592","121.385587","中山路250-1號前方機車停車格","Linkou Dist.","Chungshan & Chalin Intersection","No.250-1, Zhongshan Rd.","21","1"
"1250","國立臺北大學(三峽校區)","58","28","三峽區","20220109141941","24.945553","121.373260","學勤路大學路口(面校門右側人行道)(鄰近國立台北大學)","Sanxia Dist.","National Taipei University(Sanxia Campus)","Xueqin Rd. / Daxue Rd. intersection","29","1"
"1251","林口區公所","34","8","林口區","20220109141929","25.076742","121.388181","仁愛路一段378號(林口區公所旁機車停車格)","Linkou Dist.","Linkou District Office","No.378, Sec. 1, Ren’ai Rd.","20","1"
"1252","新麗園社區","42","21","林口區","20220109141942","25.070428","121.376882","麗園一街/麗園一街11巷(對面人行道)","Linkou Dist.","Xinliyuan Community","Liyuan 1st St. / Ln. 11, Liyuan 1st St. intersection","21","1"
"1253","中正富國路口","42","13","新莊區","20220109141925","25.025940","121.417694","中正路879之16號門口(中國信託前的公車站旁)","Xinzhuang Dist.","Zhongzheng & Fuguo Intersection","No.879-16, Zhongzheng Rd.","28","1"
"1254","大同國小","36","6","樹林區","20220109141927","24.981146","121.416844","東榮街91巷(市場旁人行道)","Shulin Dist.","Datong Elementary School","Ln. 91, Dongrong St.(Side)","30","1"
"1255","新北市立圖書館五股成功分館","42","15","五股區","20220109141921","25.094784","121.446741","西雲路165號圖書館旁空地(鄰近西雲禪寺)","Wugu Dist.","New Taipei City Library Wugu-Chenggong Branch","No.165, Xiyun Rd.","21","1"
"1256","民德立體停車場","32","13","中和區","20220109141934","24.999098","121.468345","中和區民德路188 號(立體停車場前方人行空間)","Zhonghe Dist.","Minde Parking Lot","No.188, Minde Rd.","12","1"
"1257","麗林公有市場","34","7","林口區","20220109141936","25.069123","121.367761","公園路59號(頂好超市側門)","Linkou Dist.","LiLin Market","No.59, Gongyuan Rd.","20","1"
"1258","南樹林火車站","34","22","樹林區","20220109141937","24.980236","121.408605","中山路二段東興路口(火車站右側人行道)","Shulin Dist.","Shulin South Station","Sec. 2, Zhongshan Rd. / Dongxing St. intersection","5","1"
"1259","新北市立鶯歌高級工商職業學校","40","17","鶯歌區","20220109141936","24.939095","121.334639","中正三路235~237號(對面人行道)(鄰近亞洛美精靈國度)","Yingge Dist.","New Taipei Municipal Yinggle Vocational High School","No.235-237, Zhongzheng 3rd Rd.(oppsite)","23","1"
"1260","行政院新莊聯合辦公大樓","44","15","新莊區","20220109141943","25.055969","121.444423","中平路/榮華路2段","Xinzhuang Dist.","Xinzhuang Joint Office Tower, Executive Yuan","Zhongping Rd./ Sec. 2, Ronghua Rd. intersection","29","1"
"1261","柑園五里聯合活動中心","40","19","樹林區","20220109141922","24.950576","121.386183","佳園路三段128號(活動中心左側人行道)","Shulin Dist.","5 Villages in Ganyuan Joint Activity Center","No.128, Sec. 3, Jiayuan Rd.","19","1"
